total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;h;s;mwf;r;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_perplexety_reverse;simple_errors_per_word;complex_errors_per_word;level
-1.133536627;-1.262280798;-1.085703457;-0.918167551;-1.099438917;-1.10987019;-1.227443673;-1.168565923;0.664891329;-1.327368695;1.086985091;-1.470678519;-1.470678519;0.785363852;0.315880768;-1.053891447;-1.470678519;-0.694292396;-1.095437207;-1.089099448;-1.034426388;-0.955545298;-1.000156268;-1.082882596;-0.870546387;-0.856244145;-0.626135038;1
-1.141810517;-1.262280798;-1.096244694;-1.013429618;-1.097681998;-1.120216379;-1.227443673;-1.168565923;0.868809941;-1.302808463;1.294356014;-1.436680265;-1.436680265;1.093681492;0.744643131;-1.191564307;-1.436680265;-1.084078168;-1.109638151;-1.104243708;-1.179638154;-1.215675597;-1.126014859;-1.147661216;-1.099359559;0.415405575;-0.049052054;1
-1.133536627;-0.489298068;-1.148950878;-1.061060651;-1.138091135;-1.078831623;-1.16458917;-1.189745188;0.269049318;-1.423437153;2.064590871;-1.147713227;-1.147713227;2.232459141;2.376658678;-1.6390011;-1.147713227;-1.048544818;-1.067035317;-1.089099448;-1.075915464;-1.157868864;-1.126014859;-1.212439835;-1.131331272;-0.644302525;-0.626135038;1
-1.108714959;-1.107684252;-1.069891602;-0.822905485;-1.078355889;-1.047793055;-1.196016421;-1.189745188;-0.244475453;-1.487068923;0.981297979;-1.409470331;-1.409470331;0.669911058;0.205842773;-0.980465922;-1.409470331;-0.909518803;-1.010231538;-1.104243708;-1.075915464;-0.955545298;-1.042109131;-1.082882596;-0.99310228;-0.856244145;-0.049052054;1
-0.877046058;-0.643894614;-0.832713777;-0.584750318;-0.79373501;-0.892600219;-0.787462156;-0.723801367;1.803698346;-0.320269444;1.402826958;-0.461293134;-0.461293134;1.525067893;1.604504539;-1.260400736;-0.461293134;-0.862097571;-0.92502587;-0.87707981;-1.01368185;-0.782125099;-0.79039195;-1.147661216;-0.849308073;-0.432360905;-0.626135038;1
-1.034249956;-0.953087706;-1.080432839;-1.013429618;-1.057272861;-1.016754488;-1.086021042;-0.999131807;1.250049085;-0.895716415;0.927592844;-1.163062372;-1.163062372;0.716248488;0.403520288;-0.942264804;-1.163062372;-1.093105969;-0.95342776;-1.028522408;-1.096660002;-1.013352031;-1.209920586;-1.018103976;-1.161680676;-0.432360905;0.528030931;1
-1.166632185;-1.107684252;-1.148950878;-1.061060651;-1.145118811;-1.151254946;-1.211730047;-1.232103717;0.216270383;-1.528714912;2.276405456;-1.2387202;-1.2387202;2.508540132;2.745274801;-1.747003085;-1.2387202;-0.995541927;-1.16644193;-1.104243708;-1.179638154;-1.128965497;-1.042109131;-1.212439835;-1.199589837;-0.644302525;-0.626135038;1
-1.141810517;-1.107684252;-1.164762733;-1.156322718;-1.159174163;-1.151254946;-1.243157298;-1.210924452;0.053135494;-1.497834817;1.042548464;-1.518635811;-1.518635811;0.696196111;0.165156699;-1.023297478;-1.518635811;-0.993641249;-1.138040041;-1.119387968;-1.11740454;-1.157868864;-1.084061995;-0.888546736;-1.230296993;0.203463955;-0.626135038;1
-1.174906074;-1.107684252;-1.106785931;-0.822905485;-1.117008107;-1.213332081;-1.243157298;-1.126207394;2.753299182;-0.984132323;1.98031451;-1.370956867;-1.370956867;2.078464486;2.118398625;-1.594384896;-1.370956867;-1.099978806;-1.180642875;-1.195109267;-1.22112723;-1.100062131;-1.251873449;-1.212439835;-1.054978771;-0.856244145;-0.626135038;1
-1.174906074;-1.262280798;-1.138409641;-0.965798584;-1.143361892;-1.140908757;-1.258870924;-1.168565923;1.825117914;-1.192174444;1.693774885;-1.458382004;-1.458382004;1.650147931;1.491377688;-1.435139366;-1.458382004;-1.021021226;-1.095437207;-1.134532227;-1.179638154;-1.157868864;-1.126014859;-1.277218455;-1.182538363;-0.856244145;-0.626135038;1
-1.042523845;-0.79849116;-1.054079747;-0.965798584;-1.062543618;-0.944331165;-1.054593791;-1.126207394;-0.381890878;-1.373931851;1.445440543;-0.994316622;-0.994316622;1.452847233;1.391491022;-1.286876286;-0.994316622;-0.926935931;-0.868222091;-0.967945369;-0.972192774;-0.839931832;-1.042109131;-0.823768116;-1.056456291;-0.644302525;-0.626135038;1
