total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;h;s;mwf;r;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_perplexety_reverse;simple_errors_per_word;complex_errors_per_word;level
34;1;53;5;154;27;28;17;0.5;2.91547594742265;0.8235294117647058;4.801960383990247;3.395498750508662;0.9449415302021363;0.9550632870006035;1.2142857142857142;4.801960383990247;2.9497993349778087;20.0;20.0;16.0;14.0;8.0;4.0;2.2881853981641203;0.0;0.0;1
33;1;51;3;155;26;28;17;0.5151515151515151;2.9593201512468634;0.8484848484848485;4.874174366759539;3.4465617474213164;0.9530093819610201;0.9615498556722611;1.1785714285714286;4.874174366759539;0.7756864335346678;19.0;19.0;9.0;5.0;5.0;3.0;1.1187941728382282;6.0;1.0;1
34;6;41;2;132;30;32;16;0.47058823529411764;2.743977362280141;0.9411764705882353;5.487954724560282;3.8805700005813275;0.982808161164113;0.9862399446721014;1.0625;5.487954724560282;0.9738812382272933;22.0;20.0;14.0;7.0;5.0;2.0;0.9553969349749353;1.0;0.0;1
37;2;56;7;166;33;30;16;0.43243243243243246;2.6303837968857167;0.8108108108108109;4.931969619160719;3.4874291623145783;0.9419204379452388;0.9533985676272333;1.2333333333333334;4.931969619160719;1.7493283561755124;26.0;19.0;14.0;14.0;7.0;4.0;1.6618412716463262;0.0;1.0;1
65;5;101;12;328;48;56;38;0.5846153846153846;4.713319914389921;0.8615384615384616;6.945945136995674;4.911524908119364;0.9642976155482064;0.9745583436898514;1.1607142857142858;6.945945136995674;2.013830343451419;32.0;34.0;17.0;20.0;13.0;3.0;2.39672765493815;2.0;0.0;1
46;3;54;3;178;36;37;25;0.5434782608695652;3.6860489038724285;0.8043478260869565;5.455352377731194;3.8575166600558837;0.9431329651179853;0.9563891490909241;1.2432432432432432;5.455352377731194;0.7253319555066144;30.0;24.0;13.0;12.0;3.0;5.0;0.8002907987292301;2.0;2.0;1
30;2;41;2;128;23;29;14;0.4666666666666667;2.556038601690775;0.9666666666666667;5.294651389216606;3.7438839013338363;0.9900324656668077;0.9918165857271515;1.0344827586206897;5.294651389216606;1.269516114928793;15.0;19.0;9.0;8.0;7.0;2.0;0.6065491534872033;1.0;0.0;1
33;2;38;0;120;23;27;15;0.45454545454545453;2.6111648393354674;0.8181818181818182;4.700096710803842;3.3234702564419836;0.9426082478202944;0.9527830448275053;1.2222222222222223;4.700096710803842;1.2801175508160847;17.0;18.0;12.0;7.0;6.0;7.0;0.4496146667641767;5.0;0.0;1
29;2;49;7;144;17;27;19;0.6551724137931034;3.5282114253639856;0.9310344827586207;5.0137741307804005;3.545273687212509;0.9787785310260572;0.9823328350271083;1.0740740740740742;5.0137741307804005;0.6869972513620456;14.0;13.0;7.0;9.0;2.0;2.0;1.3456102405161583;0.0;0.0;1
29;1;43;4;129;24;26;17;0.5862068965517241;3.156820749009882;0.896551724137931;4.828078792603349;3.4139672543527864;0.9675706271505612;0.9728468943008584;1.1153846153846154;4.828078792603349;1.1273999190778181;20.0;17.0;9.0;7.0;5.0;1.0;0.6936938070397249;0.0;0.0;1
45;4;59;4;175;43;39;19;0.4222222222222222;2.8323527714997336;0.8666666666666667;5.813776741499453;4.110960958218893;0.9624077931717798;0.9713357501950184;1.1538461538461537;5.813776741499453;1.652180625924077;36.0;28.0;19.0;18.0;7.0;8.0;1.3380591058534943;1.0;0.0;1
39;5;51;3;150;36;29;11;0.28205128205128205;1.7614096918559585;0.7435897435897436;4.643716460347527;3.283603399019327;0.9191317508042588;0.9350558544571769;1.3448275862068966;4.643716460347527;0.9598242837827401;36.0;23.0;13.0;8.0;8.0;6.0;1.800203764251932;1.0;0.0;1
39;2;44;2;144;29;31;23;0.5897435897435898;3.682947537517004;0.7948717948717948;4.963972767957701;3.5100588058482463;0.9373357230423479;0.9501602118737595;1.2580645161290323;4.963972767957701;1.6155950808081234;22.0;22.0;12.0;10.0;6.0;4.0;1.5563595119903055;4.0;0.0;1
