total_words;total_sentences;total_syllables;complex_words;letter_count;common_words;total_different_words;different_advanced_words;flesch_reading_ease;flesch_kinkaid;gunning_fog;coleman_liau;smog_grade;automated_readibility_index;lexical_density;beyond_2000;advanced_ttr;advanced_guiraud;ttr;rttr;cttr;m;h;s;u;mwf;r;bigram_model;bigram_perplexety;a1_words;a2_words;b1_words;b2_words;c1_words;c2_words;bigram_model_reverse;bigram_perplexety_reverse;words_per_sentence;sentences_per_paragraph;simple_errors_per_word;complex_errors_per_word;level
34;1;53;5;154;27;28;17;40.448524;9.47;13.6;9.962354;15.903189;14.41;58.82352941176471;0.7941176;0.5;2.9154758;0.8235294;4.8019605;3.3954988;0.015613398;0.9449415;0.9550633;64.047554;1.2142857;4.8019605;2.9497993;2.9497993;20.0;20.0;16.0;14.0;8.0;4.0;2.2881854;2.2881854;34.0;1.0;0.0;0.0;1
33;1;51;3;155;26;28;17;42.594547;9.08;13.2;10.921211;13.023867;13.91;72.72727272727273;0.7878788;0.5151515;2.95932;0.8484849;4.8741746;3.4465618;0.013439301;0.95300937;0.9615499;74.40863;1.1785715;4.8741746;0.7756864;0.7756864;19.0;19.0;9.0;5.0;5.0;3.0;1.1187941;1.1187941;33.0;1.0;6.0;1.0;1
34;6;41;2;132;30;32;16;99.06569;-1.84;2.0;1.8047057;6.427356;-4.8;55.88235294117647;0.88235295;0.47058824;2.7439773;0.9411765;5.4879546;3.88057;0.0048752357;0.9828082;0.98623997;205.11829;1.0625;5.4879546;0.9738813;0.9738813;22.0;20.0;14.0;7.0;5.0;2.0;0.955397;0.955397;5.6666665;6.0;1.0;0.0;1
37;2;56;7;166;33;30;16;60.01425;3.23;7.2000003;8.98054;13.816669;6.41;51.35135135135135;0.8918919;0.43243244;2.6303837;0.8108108;4.9319696;3.4874291;0.01608443;0.94192046;0.9533986;62.17192;1.2333333;4.9319696;1.7493284;1.7493284;26.0;19.0;14.0;14.0;7.0;4.0;1.6618412;1.6618412;18.5;2.0;0.0;1.0;1
65;5;101;12;328;48;56;38;62.18462;1.28;5.2000003;11.594463;11.979248;8.62;60.0;0.73846155;0.5846154;4.71332;0.86153847;6.9459453;4.911525;0.0085527245;0.9642976;0.97455835;116.92181;1.1607143;6.9459453;2.0138304;2.0138304;32.0;34.0;17.0;20.0;13.0;3.0;2.396728;2.396728;13.0;5.0;2.0;0.0;1
46;3;54;3;178;36;37;25;91.958626;2.06;6.0;5.0226083;8.841846;0.2;41.30434782608695;0.7826087;0.54347825;3.686049;0.8043478;5.4553523;3.8575168;0.014853058;0.94313294;0.9563891;67.3262;1.2432432;5.4553523;0.72533196;0.72533196;30.0;24.0;13.0;12.0;3.0;5.0;0.80029076;0.80029076;15.333333;3.0;2.0;2.0;1
28;2;50;6;152;22;19;12;41.553574;1.67;5.6;14.0057125;13.023867;9.12;67.85714285714286;0.78571427;0.42857143;2.2677867;0.6785714;3.5906625;2.538982;0.034922548;0.88363093;0.8972148;28.634796;1.4736842;3.5906625;1.001189;1.001189;14.0;17.0;11.0;2.0;4.0;4.0;0.9233146;0.9233146;14.0;1.0;0.0;0.0;1
30;2;41;2;128;23;29;14;75.99;2.06;6.0;7.3146677;8.841846;4.91;60.0;0.76666665;0.46666667;2.5560386;0.96666664;5.2946515;3.7438838;0.0029305958;0.9900325;0.9918166;341.22757;1.0344827;5.2946515;1.2695162;1.2695162;15.0;19.0;9.0;8.0;7.0;2.0;0.60654926;0.60654926;15.0;2.0;1.0;0.0;1
33;2;38;0;120;23;27;15;92.66932;2.45;6.4;3.78788;3.1291;0.7;42.42424242424242;0.6969697;0.45454547;2.6111648;0.8181818;4.7000966;3.3234704;0.016414022;0.94260824;0.95278305;60.92352;1.2222222;4.7000966;1.2801176;1.2801176;17.0;18.0;12.0;7.0;6.0;7.0;0.4496147;0.4496147;16.5;2.0;5.0;0.0;1
41;3;57;4;166;32;33;16;75.3487;1.28;5.2000003;5.8409758;9.725611;3.91;56.09756097560976;0.7804878;0.3902439;2.4987803;0.80487806;5.153734;3.6442404;0.015740013;0.94154835;0.9540931;63.53235;1.2424242;5.153734;1.0665925;1.0665925;23.0;24.0;16.0;10.0;7.0;6.0;2.1491032;2.1491032;13.666667;3.0;1.0;0.0;1
